"study_outcome","gender","highest_education","age_band","cluster","intial.weeks..active","mid.weeks..active","late.weeks..active","sum_initial_weeks_clicks","total_students","sum_mid_weeks_clicks","sum_late_weeks_clicks","sum_x","sum_y","sum_all_weeks_clicks","weeks_active","sum_score","initial_weeks_clicks_per_student","mid_weeks_clicks_per_student","late_weeks_clicks_per_student","avg_clicks_per_student","percent_weeks_active","x","y","grade","gender_age_band","xposition","yposition","avg_score","score_bucket","gender_grade","group_id"
"Distinction","F","A Level or Equivalent","0-35",1,0,1,1,0,4,1818,267,3.00577225978695,2.56309785485019,2085,8,346.666666666667,0,454,67,521,66.6666666666667,0.751443064946739,0.640774463712547,"Pass","F - 0-35",20.7514430649467,5.64077446371255,87,"g60","F - g60","306411"
"Distinction","F","A Level or Equivalent","0-35",1,1,1,0,2024,19,6507,0,25.3192143142526,25.1084863707435,8531,38,1560.1297979798,107,342,0,449,66.6666666666667,1.33259022706593,1.32149928267071,"Pass","F - 0-35",21.3325902270659,6.32149928267071,82,"g60","F - g60","5b459b"
"Distinction","F","A Level or Equivalent","0-35",1,1,1,1,88114,372,366590,69595,218.372753727844,566.399054100702,524299,1116,32310.5635558886,237,985,187,1409,100,0.587023531526462,1.52257810242124,"Pass","F - 0-35",20.5870235315265,6.52257810242124,87,"g60","F - g60","ae18a3"
"Distinction","F","A Level or Equivalent","0-35",3,1,1,1,41781,59,177030,32959,-143.756202088913,35.064895259424,251770,177,5229.53531746032,708,3001,559,4267,100,-2.43654579811716,0.594320258634305,"Pass","F - 0-35",17.5634542018828,5.5943202586343,89,"g60","F - g60","9ab913"
"Distinction","F","A Level or Equivalent","35-55",1,0,1,0,0,1,221,0,1.49057840082942,1.84845090519811,221,1,82.2727272727273,0,221,0,221,33.3333333333333,1.49057840082942,1.84845090519811,"Pass","F - 35-55",21.4905784008294,6.84845090519811,82,"g60","F - g60","4539e8"
"Distinction","F","A Level or Equivalent","35-55",1,0,1,1,0,6,3249,553,3.76940149878679,7.17200953746423,3802,12,523.666666666667,0,542,92,634,66.6666666666667,0.628233583131131,1.19533492291071,"Pass","F - 35-55",20.6282335831311,6.19533492291071,87,"g60","F - g60","da2aef"
"Distinction","F","A Level or Equivalent","35-55",1,1,1,0,771,7,2187,0,8.08469329159411,12.8191276570355,2958,14,619.549350649351,110,312,0,423,66.6666666666667,1.15495618451344,1.83130395100507,"Pass","F - 35-55",21.1549561845134,6.83130395100507,89,"g60","F - g60","07396a"
"Distinction","F","A Level or Equivalent","35-55",1,1,1,1,55812,193,254768,46475,30.6489290464855,379.192304608313,357055,579,16752.6318903319,289,1320,241,1850,100,0.1588027411735,1.96472696688245,"Pass","F - 35-55",20.1588027411735,6.96472696688245,87,"g60","F - g60","988901"
"Distinction","F","A Level or Equivalent","35-55",3,1,1,1,19466,22,83924,11784,-68.0110968132256,25.1593187731761,115174,66,1966.17063492063,885,3815,536,5235,100,-3.09141349151026,1.14360539878073,"Pass","F - 35-55",16.9085865084897,6.14360539878073,89,"g60","F - g60","b65cdb"
"Distinction","F","HE Qualification","0-35",1,0,1,1,0,1,1176,216,0.904852548955573,1.82478129408794,1392,2,83.4,0,1176,216,1392,66.6666666666667,0.904852548955573,1.82478129408794,"Pass","F - 0-35",20.9048525489556,6.82478129408794,83,"g60","F - g60","02f33c"
"Distinction","F","HE Qualification","0-35",1,1,1,1,30027,90,116137,26982,16.0320998286038,165.172971257796,173146,270,7848.05566378066,334,1290,300,1924,100,0.178134442540042,1.83525523619774,"Pass","F - 0-35",20.17813444254,6.83525523619774,87,"g60","F - g60","234cc6"
"Distinction","F","HE Qualification","0-35",2,1,1,1,1667,7,8112,1108,-0.568224630438631,6.87190431945096,10887,21,621,238,1159,158,1555,100,-0.0811749472055188,0.981700617064422,"Pass","F - 0-35",19.9188250527945,5.98170061706442,89,"g60","F - g60","c31904"
"Distinction","F","HE Qualification","0-35",3,1,1,1,13919,22,60364,15261,-55.3592866670619,15.0642281003245,89544,66,1951.19365079365,633,2744,694,4070,100,-2.51633121213918,0.68473764092384,"Pass","F - 0-35",17.4836687878608,5.68473764092384,89,"g60","F - g60","dd6877"
"Distinction","F","HE Qualification","35-55",1,0,1,1,0,1,423,127,1.04789431555392,2.16258609619116,550,2,92.6,0,423,127,550,66.6666666666667,1.04789431555392,2.16258609619116,"Pass","F - 35-55",21.0478943155539,7.16258609619116,93,"g60","F - g60","464661"
"Distinction","F","HE Qualification","35-55",1,1,1,0,318,3,752,0,3.59831917086406,6.06470438894359,1070,6,260.454545454545,106,251,0,357,66.6666666666667,1.19943972362135,2.02156812964786,"Pass","F - 35-55",21.1994397236214,7.02156812964786,87,"g60","F - g60","464530"
