"id_student","code_module","code_presentation","final_result","gender","highest_education","age_band","region","score_avg","intial weeks","late weeks","mid weeks","intial weeks -active","late weeks -active","mid weeks -active","cluster","x","y"
23629,"BBB","2013B","Fail","F","Lower Than A Level","0-35","East Anglian Region",82.5,39,0,108,1,0,1,1,1.96486816985275,1.08378403298171
25107,"BBB","2013B","Pass","F","Lower Than A Level","0-35","East Anglian Region",77.3636363636364,79,197,2281,1,1,1,1,0.446981843020011,2.05360446055865
27891,"BBB","2013B","Withdrawn","M","Lower Than A Level","0-35","Scotland",69.1666666666667,196,0,136,1,0,1,2,1.15403926724357,-0.987990929503173
29144,"BBB","2013B","Fail","M","Lower Than A Level","0-35","South Region",73.2222222222222,200,225,1477,1,1,1,2,0.0905746509573526,-0.320004881063851
33666,"BBB","2013B","Withdrawn","F","A Level or Equivalent","0-35","London Region",0,397,0,811,1,0,1,1,2.20175424747597,-0.103741647770096
34431,"BBB","2013B","Withdrawn","F","Lower Than A Level","0-35","Yorkshire Region",80,77,0,115,1,0,1,1,2.15616751304386,0.742276324257447
34756,"BBB","2013B","Withdrawn","F","Lower Than A Level","0-35","East Midlands Region",67.3333333333333,42,0,87,1,0,1,1,2.34042738071921,0.557300944211107
34863,"BBB","2013B","Pass","F","A Level or Equivalent","0-35","London Region",73.9090909090909,42,1,155,1,1,1,1,1.49699805332781,1.6905170528896
35812,"BBB","2013B","Fail","F","Lower Than A Level","0-35","East Anglian Region",71,19,0,0,1,0,0,1,2.14928816181823,0.906742240512874
39655,"BBB","2013B","Distinction","F","Lower Than A Level","0-35","Scotland",83.0909090909091,104,10,310,1,1,1,1,1.57011932001427,1.45524112541834
50993,"BBB","2013B","Fail","F","Lower Than A Level","0-35","Scotland",46.2222222222222,39,0,132,1,0,1,1,2.32618928852747,0.59004916735694
58089,"BBB","2013B","Fail","F","A Level or Equivalent","0-35","West Midlands Region",87.5,79,0,23,1,0,1,1,1.79646942403047,1.23292028694284
62631,"BBB","2013B","Fail","F","A Level or Equivalent","0-35","North Western Region",80.4285714285714,185,0,297,1,0,1,1,1.6293701752668,1.19717663929085
71433,"BBB","2013B","Fail","F","A Level or Equivalent","0-35","North Western Region",0,46,0,0,1,0,0,1,2.74075933322446,0.0236411153292706
